diagnostic,config,AUC,accuracy
split_sensitivity,Split 1 (seed=42),0.6967895362663494,0.6551724137931034
split_sensitivity,Split 2 (seed=0),0.704667063020214,0.6637931034482759
split_sensitivity,Split 3 (seed=123),0.7164090368608799,0.6810344827586207
split_sensitivity,Split 4 (seed=456),0.6620095124851367,0.6379310344827587
split_sensitivity,Split 5 (seed=789),0.6373365041617122,0.603448275862069
representation,promo,0.6967895362663494,0.6551724137931034
representation,semantic,0.6988703923900118,0.6379310344827587
min_df,min_df=2,0.6967895362663494,0.6551724137931034
min_df,min_df=5,0.6409036860879904,0.5689655172413793
min_df,min_df=10,0.6141498216409037,0.603448275862069
