task,diagnostic,config,auc_mean,auc_sd,acc_mean,acc_sd,n_folds,notes
median_split,sanity_baseline,Dummy (most_frequent),0.5,0.0,0.49784946236559136,0.0027263040475113414,15,Majority-class baseline.
median_split,sanity_label_shuffle,"Shuffled labels (BoW Count, min_df=2)",0.5305701913150733,0.08370276036787072,0.5209287829203679,0.062063715073333026,15,Should be ~0.50 AUC if pipeline is not leaking.
median_split,representation,Count (min_df=2) | promo,0.682757175991098,0.06333414144823873,0.6535920211937043,0.044127411595917446,15,
median_split,representation,Count (min_df=2) | semantic,0.6866223571840352,0.06678140799753889,0.6499766245909304,0.049175506154023614,15,
median_split,min_df,Count | min_df=1,0.7015210017562912,0.05409344763248117,0.6514492753623188,0.051177680951686344,15,
median_split,min_df,Count | min_df=2,0.682757175991098,0.06333414144823873,0.6535920211937043,0.044127411595917446,15,
median_split,min_df,Count | min_df=5,0.6536831838474844,0.07195670437305421,0.6174692223780583,0.05126744428461474,15,
median_split,min_df,Count | min_df=10,0.6409896231347786,0.0609115792711058,0.6074411718871747,0.05092913475209547,15,
median_split,vectorizer,Count (min_df=2),0.682757175991098,0.06333414144823873,0.6535920211937043,0.044127411595917446,15,
median_split,vectorizer,TFIDF (min_df=2),0.7073660325249033,0.04125817110068609,0.636340969300296,0.0456053500663045,15,
median_split,tfidf_tuning,Best TFIDF C=10.0 (min_df=2),0.7100675032511495,,,,15,GridSearchCV reports mean CV AUC for the best setting; sd not stored.
top_quartile,label_choice,TFIDF (min_df=2) | promo,0.725484567067743,0.05145333153758705,0.7741467975689573,0.020592253289859124,15,high_views = 1 if view_count > 75th percentile (288395).
