label,direction,rank,term,coef
promo_tfidf_C=0.1,positive,1,the,0.11052094320597235
promo_tfidf_C=0.1,positive,2,you,0.08807604012046924
promo_tfidf_C=0.1,positive,3,singh,0.07901718312028079
promo_tfidf_C=0.1,positive,4,lyrics,0.07001989161248753
promo_tfidf_C=0.1,positive,5,us,0.06463048828086615
promo_tfidf_C=0.1,positive,6,assistant,0.06160706138679822
promo_tfidf_C=0.1,positive,7,with,0.05367585311401932
promo_tfidf_C=0.1,positive,8,us on,0.052472714746197135
promo_tfidf_C=0.1,positive,9,song,0.05087442599120423
promo_tfidf_C=0.1,positive,10,be,0.0498176967426673
promo_tfidf_C=0.1,positive,11,punjabi,0.048939205150816734
promo_tfidf_C=0.1,positive,12,d,0.0484427339873076
promo_tfidf_C=0.1,positive,13,series,0.04675696182270925
promo_tfidf_C=0.1,positive,14,t series,0.04675696182270925
promo_tfidf_C=0.1,positive,15,cole,0.04658726868949224
promo_tfidf_C=0.1,positive,16,director,0.043832648922047704
promo_tfidf_C=0.1,positive,17,ali,0.043467762418287564
promo_tfidf_C=0.1,positive,18,shrestha,0.04329613553111887
promo_tfidf_C=0.1,positive,19,joji,0.04272879330882429
promo_tfidf_C=0.1,positive,20,of,0.041977698540001065
promo_tfidf_C=0.1,negative,1,composer,-0.07787043254650244
promo_tfidf_C=0.1,negative,2,lyricist,-0.07326927865148217
promo_tfidf_C=0.1,negative,3,released,-0.06805980744228605
promo_tfidf_C=0.1,negative,4,by youtube,-0.06514565934141997
promo_tfidf_C=0.1,negative,5,auto,-0.06514565934141997
promo_tfidf_C=0.1,negative,6,auto generated,-0.06514565934141997
promo_tfidf_C=0.1,negative,7,generated by,-0.06514565934141997
promo_tfidf_C=0.1,negative,8,generated,-0.06514565934141997
promo_tfidf_C=0.1,negative,9,youtube,-0.0633153649880222
promo_tfidf_C=0.1,negative,10,on 2026,-0.062355806734507024
promo_tfidf_C=0.1,negative,11,released on,-0.0613325550213963
promo_tfidf_C=0.1,negative,12,to youtube,-0.0603756428304434
promo_tfidf_C=0.1,negative,13,provided,-0.0603756428304434
promo_tfidf_C=0.1,negative,14,provided to,-0.0603756428304434
promo_tfidf_C=0.1,negative,15,youtube by,-0.0603756428304434
promo_tfidf_C=0.1,negative,16,la,-0.05432427619915184
promo_tfidf_C=0.1,negative,17,video stream,-0.04717452319736294
promo_tfidf_C=0.1,negative,18,guitar,-0.046911625267838555
promo_tfidf_C=0.1,negative,19,music video,-0.04670161832363065
promo_tfidf_C=0.1,negative,20,te,-0.04644080143639337
semantic_tfidf_C=0.1,positive,1,the,0.11494881817447652
semantic_tfidf_C=0.1,positive,2,you,0.08875823814272635
semantic_tfidf_C=0.1,positive,3,singh,0.08042539900684308
semantic_tfidf_C=0.1,positive,4,us,0.06625691925172036
semantic_tfidf_C=0.1,positive,5,assistant,0.06217113056419997
semantic_tfidf_C=0.1,positive,6,d,0.06214589614044602
semantic_tfidf_C=0.1,positive,7,with,0.05537924479490006
semantic_tfidf_C=0.1,positive,8,us on,0.05382527973406767
semantic_tfidf_C=0.1,positive,9,be,0.05193708917338477
semantic_tfidf_C=0.1,positive,10,song,0.051605651924766946
semantic_tfidf_C=0.1,positive,11,official,0.05124070499218737
semantic_tfidf_C=0.1,positive,12,punjabi,0.05007555117064848
semantic_tfidf_C=0.1,positive,13,series,0.04728585764293815
semantic_tfidf_C=0.1,positive,14,t series,0.04728585764293815
semantic_tfidf_C=0.1,positive,15,joji,0.04686932353392016
semantic_tfidf_C=0.1,positive,16,cole,0.04685246760229547
semantic_tfidf_C=0.1,positive,17,director,0.044644828766350925
semantic_tfidf_C=0.1,positive,18,ali,0.0446166899135223
semantic_tfidf_C=0.1,positive,19,shrestha,0.04379305573411696
semantic_tfidf_C=0.1,positive,20,of,0.04295333166188588
semantic_tfidf_C=0.1,negative,1,composer,-0.07754459738849423
semantic_tfidf_C=0.1,negative,2,lyricist,-0.0729530294214334
semantic_tfidf_C=0.1,negative,3,released,-0.0687901202693211
semantic_tfidf_C=0.1,negative,4,auto generated,-0.06503955322716015
semantic_tfidf_C=0.1,negative,5,by youtube,-0.06503955322716015
semantic_tfidf_C=0.1,negative,6,generated,-0.06503955322716015
semantic_tfidf_C=0.1,negative,7,generated by,-0.06503955322716015
semantic_tfidf_C=0.1,negative,8,auto,-0.06503955322716015
semantic_tfidf_C=0.1,negative,9,on 2026,-0.06227236281693098
semantic_tfidf_C=0.1,negative,10,youtube,-0.06120277542726914
semantic_tfidf_C=0.1,negative,11,released on,-0.06115209773113754
semantic_tfidf_C=0.1,negative,12,to youtube,-0.060194827443951424
semantic_tfidf_C=0.1,negative,13,youtube by,-0.060194827443951424
semantic_tfidf_C=0.1,negative,14,provided,-0.060194827443951424
semantic_tfidf_C=0.1,negative,15,provided to,-0.060194827443951424
semantic_tfidf_C=0.1,negative,16,la,-0.054865727772456546
semantic_tfidf_C=0.1,negative,17,by,-0.04785821081030796
semantic_tfidf_C=0.1,negative,18,stream,-0.04735428770347483
semantic_tfidf_C=0.1,negative,19,te,-0.0469054714879171
semantic_tfidf_C=0.1,negative,20,guitar,-0.04649139659520024
